Test ID,Summary,Description,Action,Expected Result,Classification,Phase,References
EAI-MUA-036,Single-part MIME messages of type message/global are sent to non-SMTPUTF8 servers with a valid content-transfer-encoding,"If the software sends single-part MIME messages of type message/global to an SMTP server without the SMTPUTF8 extension (as permitted by RFC6532), these parts must be assigned a content-transfer-encoding. The software may choose to use any encoding (although 8-bit or binary are suggested), so this test simply assures that the content-transfer-encoding header is populated.",Send single-part MIME message of type message/global,Message content-transfer-encoding header is populated,Required,1,"RFC 2045, RFC 2046, RFC 6532"
EAI-MUA-037,Local part of EAI values in atoms are displayed as Unicode,"If the software allows message headers to be viewed, atomic values containing Unicode are displayed as Unicode.The local parts of addresses appearing in “Received” header values should be used as a test for this behavior, since that header’s “for” clauses will contain destination address (unlike “Message-ID”, which may have an ASCII-encoded value). Refer to RFC 5321 for details about the structure of the “Received” header.",Receive message addressed to <Email>,Local part of <Email> is displayed in “Received” header value as Unicode,Required,1,RFC 6532
EAI-MUA-038,Domain part of EAI values in atoms are displayed as Unicode,"If the software allows message headers to be viewed, atomic values containing Unicode are displayed as Unicode. The domain parts of addresses appearing in “Received” header values should be used as a test for this behavior, since that header’s “for” clauses will contain destination address (unlike “Message-ID”, which may have an ASCII-encoded value). Refer to RFC 5321 for details about the structure of the “Received” header.",Receive message addressed to <Email>,Domain part of <Email> is displayed in “Received” header value in U-label form,Required,1,RFC 6532
EAI-MUA-039,Message lines longer than 998 characters are limited to 998 octets,"Messages generated by the software must not contain lines longer than 998 octets or 8-bit bytes (as opposed to “characters”, which in Unicode may consist of multiple 8-bit bytes). What the software does with the line is unimportant for this test (for example, it may truncate the line, or encode the message in a way that avoids exceeding the 998 octet line length restriction). Note that this test is not conclusive since software may generate messages whose content does not correspond one-to-one with the message entered by the user (for example, by introducing HTML markup for text/html messages). However, the software’s handling of messages of type text/plain is considered indicative of its overall behavior with regards to message line length limitations.",Compose message containing single line of 999 multibyte Unicode characters,Message is encoded without any line exceeding 998 octets in length,Required,1,RFC 6532
EAI-MUA-040,Server address can be specified by A-label,"If the software supports IMAP, it should allow servers with IDN addresses to be specified in A-label form.",Configure IMAP connection with server <Domain>,<Domain> is accepted,Required,2,RFC 5891
EAI-MUA-041,Server address can be specified by U-label,"If the software supports IMAP, it should allow servers with IDN addresses to be specified in U-label form.",Configure IMAP connection with server <Domain>,<Domain> is accepted,Required,2,RFC 5891
EAI-MUA-042,Server address displayed as Unicode,"If the software supports IMAP, then when an IMAP server with an IDN address is specified by the user by U-label, that label should then be displayed to the user in U-label form.",Configure IMAP connection with server <Domain>,<Domain> is displayed in U-label form,Required,2,UASG 007
EAI-MUA-043,Connection to IMAP server at IDN address is supported,"If the software supports IMAP, then when an IMAP server with an IDN address is used, the application should correctly resolve the IDN label and connect to the server. This test case uses successful login as a proxy determinant for correct domain resolution and connectivity.",Configure IMAP connection with server <Domain> and connect,Connection succeeds,Required,2,RFC 5891
EAI-MUA-044,Username can be provided as Unicode,"If the software supports IMAP, it must be possible for the user to specify the username to be used for authenticating the POP connection in Unicode.",Configure IMAP connection with username <Unicode>,<Unicode> is accepted,Required,2,RFC 5891
EAI-MUA-045,Username displayed as Unicode,"If the software supports IMAP, then when a username is specified by the user in Unicode, it should also be displayed to the user in Unicode.",Configure IMAP connection with username <Unicode>,<Unicode> is displayed as entered,Required,2,UASG 007
EAI-MUA-046,AUTHENTICATE command is used for authentication,"If the software supports IMAP, it should support use of the AUTHENTICATE command for authentication to the server, rather than LOGIN. This allows the user to authenticate with usernames containing Unicode via a secure channel.",Establish connection with username <Unicode>,Connection succeeds and AUTHENTICATE is used for login,Required,1,RFC 6855
EAI-MUA-047,UTF8=ACCEPT is enabled,"If the software supports IMAP, it should send the ENABLE command with UTF8=ACCEPT to advertise EAI support to a server that offers the UTF8=ACCEPT or UTF8=ONLY capability (as accessed by the CAPABILITY command).",Establish connection and inspect traffic sent to server,ENABLE UTF8=ACCEPT command is transmitted to server,Required,1,RFC 6855
EAI-MUA-048,SEARCH command does not specify charset,"If the software supports IMAP, it should not include a charset specification when sending SEARCH comands to IMAP servers that support UTF8=ACCEPT (or equivalent).",Execute search and inspect traffic sent to server,SEARCH command transmitted to server does not include CHARSET,Required,1,RFC 6855
EAI-MUA-049,APPEND command uses UTF8 extension,"If the software supports IMAP, it should use the UTF8 extension with any APPEND commands used to transmit messages containing Unicode header values to servers supporting UTF8=ACCEPT (or equivalent). For this test case, the “Subject” header is used to ensure that the message contains Unicode values. This applies equally to cases where the client makes use of the CATENATE extension with APPEND commands.",Add message with “Subject” <Unicode> to IMAP folder and inspect traffic sent to server,APPEND command uses UTF8 extension,Required,1,RFC 6855
EAI-MUA-050,Mailbox with Unicode name can be created,"If the software supports IMAP, then it should allow the user to create mailboxes with names containing Unicode.",Create mailbox <Unicode>,Mailbox is created with name <Unicode>,Required,2,RFC 6855
EAI-MUA-051,Unicode mailbox names can be accessed,"If the software supports IMAP, then it should be possible to list and subscribe to mailboxes with Unicode names. For this test, a mailbox with Unicode characters in its name should exist on the IMAP server.",Subscribe to mailbox <Unicode>,Subscription is successful,Required,2,RFC 6855
EAI-MUA-052,Unicode mailbox names display as Unicode,"If the software supports IMAP, then any mailbox names that are represented in the application should be displayed as Unicode. For this test, a mailbox with Unicode characters in its name should exist on the IMAP server.",Subscribe to mailbox <Unicode>,<Unicode> is displayed as entered,Required,2,UASG 007
EAI-MUA-053,Messages in mailbox with Unicode name can be retrieved,"If the software supports IMAP, then it should be able to retrieve messages from mailboxes with Unicode names. For this test, a mailbox with Unicode characters in its name should exist on the IMAP server.",Access mailbox <Unicode>,Messages are retrieved from mailbox,Required,2,RFC 6855
EAI-MUA-054,Message with EAI address in originator header is accessible,"If the software supports IMAP, it should be able to access messages with EAI values in originator header. This applies to the “From” and “Reply-To” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with originator header <Email>,Message is accessible,Required,1,UASG 007
EAI-MUA-055,Message with EAI address in destination address header is accessible,"If the software supports IMAP, it should be able to access messages with EAI values in destination address headers. This applies to the “To”, “Cc”, and “Bcc” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with destination address header <Email>,Message is accessible,Required,1,UASG 007
EAI-MUA-056,Message with Unicode value in unstructured text header is accessible,"If the software supports IMAP, it should be able to access messages with Unicode values in unstructured text headers. For this test case, the “Subject” header is used as an indicative example, and header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with “Subject” <Unicode>,Message is accessible,Required,1,UASG 007
EAI-MUA-057,Messages can be stored in mailbox with Unicode name,"If the software supports IMAP, it should be able to store messages in mailboxes with Unicode names. For this test, a mailbox with Unicode characters in its name should exist on the IMAP server.",Store message in mailbox <Unicode>,Message is stored,Required,2,RFC 6855
EAI-MUA-058,Message with EAI address in originator header can be stored,"If the software supports IMAP, it should be able to access messages with EAI values in originator header. This applies to the “From” and “Reply-To” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Store message with originator header <Email>,Message is stored,Required,1,UASG 007
EAI-MUA-059,Message with EAI address in destination address header can be stored,"If the software supports IMAP, it should be able to access messages with EAI values in destination address headers. This applies to the “To”, “Cc”, and “Bcc” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Store message with destination address header <Email>,Message is stored,Required,1,UASG 007
EAI-MUA-060,Message with Unicode value in unstructured text header can be stored,"If the software supports IMAP, it should be able to access messages with Unicode values in unstructured text headers. For this test case, the “Subject” header is used as an indicative example, and header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Store message with “Subject” <Unicode>,Message is stored,Required,1,UASG 007
EAI-MUA-061,Server address can be specified by A-label,"If the software supports POP, it should allow servers with IDN addresses to be specified in A-label form.",Configure POP connection with server <Domain>,<Domain> is accepted,Required,2,"RFC 5891, RFC 6856"
EAI-MUA-062,Server address can be specified by U-label,"If the software supports POP, it should allow servers with IDN addresses to be specified in U-label form.",Configure POP connection with server <Domain>,<Domain> is accepted,Required,2,"RFC 5891, RFC 6856"
EAI-MUA-063,Server address displayed as Unicode,"If the software supports POP, then when a server with an IDN address is specified by the user by U-label, that label should then be displayed to the user in U-label form.",Configure POP connection with server <Domain>,<Domain> is displayed in U-label form,Required,2,"UASG 007, UASG 012"
EAI-MUA-064,Connection to POP server at IDN address is supported,"If the software supports POP, then when a server with an IDN address is used, the application should correctly resolve the IDN label and connect to the server. This test case uses successful login as a proxy for correct domain resolution and connectivity.",Configure POP connection with server <Domain> and connect,Connection succeeds,Required,2,"RFC 5891, RFC 6856"
EAI-MUA-065,Username can be provided as Unicode,"If the software supports POP, it must be possible for the user to specify the username to be used for authenticating the POP connection in Unicode.",Configure POP connection with username <Unicode>,<Unicode> is accepted,Required,2,RFC 6856
EAI-MUA-066,Username displayed as Unicode,"If the software supports POP, then when a username is specified by the user in Unicode, it should also be displayed to the user in Unicode.",Configure POP connection with username <Unicode>,<Unicode> is displayed as entered,Required,2,"UASG 007, UASG 012"
EAI-MUA-067,Connection to server with Unicode username is supported,"If the software supports POP, it should correctly transmit Unicode usernames to the server when authenticating with the USER command.",Establish connection with username <Unicode> and inspect traffic sent to server,Username is transmitted as Unicode,Required,2,RFC 6856
EAI-MUA-068,UTF8 mode is enabled,"If the software supports POP, it should enable UTF8 mode when the capability is offered by the server.",Establish connection and inspect traffic sent to server,UTF8 command should be transmitted,Required,1,RFC 6856
EAI-MUA-069,STLS command is not used in UTF8 mode,"If the software supports POP, then once the software has enabled UTF8 mode in a connection it must not issue an STLS command. It is expected that servers will reject the command in this situations, but it is an error for clients to request it.",Establish connection and inspect traffic sent to server,STLS command is not transmitted,Required,1,RFC 6856
EAI-MUA-070,Message with EAI address in originator header is accessible,"If the software supports POP, it should be able to access messages with EAI values in originator header. This applies to the “From” and “Reply-To” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with originator header <Email>,Message is accessible,Required,1,"UASG 007, UASG 012"
EAI-MUA-071,Message with EAI address in destination address header is accessible,"If the software supports POP, it should be able to access messages with EAI values in destination address headers. This applies to the “To”, “Cc”, and “Bcc” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with destination address header <Email>,Message is accessible,Required,1,"UASG 007, UASG 012"
EAI-MUA-072,Message with Unicode value in unstructured text header is accessible,"If the software supports POP, it should be able to access messages with Unicode values in unstructured text headers. For this test case, the “Subject” header is used as an indicative example, and header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with “Subject” <Unicode>,Message is accessible,Required,1,"UASG 007, UASG 012"
