Test ID,Summary,Description,Action,Expected Result,Classification,Phase,References
EAI-MDA-020,Mailbox with Unicode name can be created via IMAP,"If the software supports IMAP and allows clients to create new mailboxes, then it must allow mailbox names to specified as Unicode.",Create mailbox <Unicode> via IMAP,Mailbox is created,Required,2,"RFC 6855, UASG 007, UASG 012"
EAI-MDA-021,Mailbox with Unicode name can be subscribed via IMAP,"If the software supports IMAP, then clients must be able to subscribe to mailboxes with Unicode mailbox names. For this test, a mailbox with a Unicode name must be present on the server.",Subscribe to mailbox <Unicode> via IMAP,Subscription is successful,Required,2,"RFC 6855, UASG 007, UASG 012"
EAI-MDA-022,Messages in mailbox with Unicode name are accessible via IMAP,"If the software supports IMAP, then clients must be able to read the contents of mailboxes with Unicode mailbox names. For this test, a mailbox with a Unicode name must be present on the server.",Open mailbox <Unicode> via IMAP,Mailbox contents are accessible,Required,2,"RFC 6855, UASG 007, UASG 012"
EAI-MDA-023,Message with EAI address in originator header can be stored via IMAP,"If the software supports IMAP, then clients must be able to store messages with EAI values in originator headers. This applies to the “From” and “Reply-To” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Store message with originator header <Email> via IMAP,Message is stored,Required,2,"RFC 6855, UASG 007, UASG 012"
EAI-MDA-024,Message with EAI address in destination address header can be stored via IMAP,"If the software supports IMAP, then clients must be able to store messages with EAI values in destination address headers. This applies to the “To”, “Cc”, and “Bcc” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Store message with destination address header <Email> via IMAP,Message is stored,Required,2,"RFC 6855, UASG 007, UASG 012"
EAI-MDA-025,Message with Unicode value in unstructured header can be stored via IMAP,"If the software supports IMAP, then clients must be able to store messages with Unicode values in unstructured text headers. For this test case, the “Subject” header is used as an indicative example, and the header value must a Unicode string (without ASCII-encoding, such as by quoted-words).",Store message with “Subject” <Unicode> via IMAP,Message is stored,Required,2,"RFC 6855, UASG 007, UASG 012"
EAI-MDA-026,Message with EAI address in originator header is accessible via IMAP,"If the software supports IMAP, then clients must be able to access messages with EAI values in originator headers. This applies to the “From” and “Reply-To” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with originator header <Email> via IMAP,Message is accessible,Required,2,"RFC 6855, UASG 007, UASG 012"
EAI-MDA-027,Message with EAI address in destination address header is accessible via IMAP,"If the software supports IMAP, then clients must be able to access messages with EAI values in destination address headers. This applies to the “To”, “Cc”, and “Bcc” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with destination address header <Email> via IMAP,Message is accessible,Required,2,"RFC 6855, UASG 007, UASG 012"
EAI-MDA-028,Message with Unicode value in unstructured header is accessible via IMAP,"If the software supports IMAP, then clients must be able to access messages with Unicode values in unstructured text headers. For this test case, the “Subject” header is used as an indicative example, and the header value must a Unicode string (without ASCII-encoding, such as by quoted-words).",Access message with “Subject” <Unicode> via IMAP,Message is accessible,Required,2,"RFC 6855, UASG 007, UASG 012"
EAI-MDA-029,POP UTF8 USER capability is advertised,"If the software supports POP, then when a client requests a listing of server capabilities with the CAPA command, the listing returned by the server responds must include UTF8 USER.",Establish POP connection (using CAPA command) and inspect traffic sent to client,Response to command is +OK and listing includes UTF8 USER,Required,1,RFC 6856
EAI-MDA-030,POP UTF8 command is accepted,"If the software supports POP, it should accept the UTF8 command and switch the active session to UTF-8 mode.",Establish EAI POP connection (using UTF8 command) and inspect traffic sent to client,Response to command is +OK,Required,1,RFC 6856
EAI-MDA-031,POP UTF8 USER command is accepted,"If the software supports POP, it should accept the UTF8 USER command and switch the active session to UTF-8 mode.",Establish EAI POP connection (using UTF8 USER command) and inspect traffic sent to client,Response to command is +OK,Required,1,RFC 6856
EAI-MDA-032,POP LANG capability is advertised,"If the software supports POP, then when a client requests a listing of server capabilities with the CAPA command, the listing returned by the server responds should include LANG.",Establish POP connection (using CAPA command) and inspect traffic sent to client,Response to command is +OK and listing includes LANG,Required,1,RFC 6856
EAI-MDA-033,POP LANG command is accepted,"If the software supports POP, it should accept the LANG command and activate the requested language in the session. Because the set of supported differs between applications, this test case should use a language that is known to be supported by the software so that an -OK response can be expected (since an -ERR response may indicate that the language was not supported, but may also indicate that the command was not understood).",Establish EAI POP connection (using LANG command) and inspect traffic sent to client,Response to command is +OK,Required,1,RFC 6856
EAI-MDA-034,POP STLS command is rejected in UTF8 mode,"If the software supports POP, it should reject any SLTS command after UTF8 mode is enabled (with the UTF8 command).",Establish EAI POP connection (using UTF8 and STLS commands) and inspect traffic sent to client,Response to command is -ERR,Advisory,1,RFC 6856
EAI-MDA-035,POP LIST command reports size of Unicode message as octet count,"If the software supports POP, when reporting the size of a message containing Unicode values, the size (as indicated by the LIST command) must be given as a count of octets or 8-bit bytes, as opposed to a count of characters in the message. For ASCII-only messages these values will be the same, but for Unicode messages containing multibyte characters these will be different and the former must be used. For this test, a message with a Unicode value in the “Subject” header is used as an example of a message containing Unicode.",List message with “Subject” <Unicode> (using POP LIST command) and inspect traffic sent to client,Response to command is +OK and size of message is reported as octet count,Required,1,RFC 6856
EAI-MDA-036,Unicode username is accepted via POP,"If the software supports POP, then clients must be able to use a username containing Unicode text when authenticating to the server.",Authenticate to server with username <Unicode> via POP,Authentication is successful,Required,2,"UASG 007, UASG 012"
EAI-MDA-037,Message with Unicode value in originator header is accessible via POP,"If the software supports POP, then clients must be able to access messages with EAI values in originator header. This applies to the “From” and “Reply-To” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with originator header <Email> via POP,Message is accessible,Required,2,"UASG 007, UASG 012"
EAI-MDA-038,Message with Unicode value in destination address header is accessible via POP,"If the software supports POP, then clients must be able to access messages with EAI values in destination address headers. This applies to the “To”, “Cc”, and “Bcc” headers. For this test case, the header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with destination address header <Email> via POP,Message is accessible,Required,2,"UASG 007, UASG 012"
EAI-MDA-039,Message with Unicode value in unstructured header is accessible via POP,"If the software supports POP, then clients must be able to access messages with Unicode values in unstructured text headers. For this test case, the “Subject” header is used as an indicative example, and header values should be Unicode strings rather than in an ASCII encoding such as quoted-words.",Access message with “Subject” <Unicode> via POP,Message is accessible,Required,2,"UASG 007, UASG 012"
